ID,sex,group,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,avg_weeks_IPR_on_PR_diet,avg_weeks_IPR_on_NR_diet
IPR23,female,PR,0.50,0.13,0.13,0.12,0.11,0.13,0.12,0.12,0.13,0.12,0.12
IPR24,female,PR,0.67,0.16,0.15,0.15,0.14,0.16,0.13,0.14,0.13,0.15,0.14
IPR25,female,IPR,0.42,0.11,0.47,0.11,0.43,0.10,0.48,0.11,0.45,0.11,0.45
IPR26,female,IPR,0.41,0.13,0.45,0.11,0.43,0.12,0.46,0.12,0.42,0.12,0.44
IPR27,female,NR,0.45,0.52,0.50,0.50,0.49,0.53,0.48,0.50,0.50,0.51,0.49
IPR28,female,NR,0.53,0.48,0.47,0.48,0.41,0.47,0.47,0.49,0.49,0.48,0.46
IPR29,female,PR,0.46,0.11,0.12,0.11,0.11,0.16,0.12,0.12,0.12,0.12,0.11
IPR30,female,PR,0.52,0.13,0.12,0.12,0.11,0.08,0.12,0.11,0.12,0.11,0.12
IPR31,female,IPR,0.55,0.16,0.62,0.15,0.56,0.09,0.57,0.14,0.60,0.14,0.59
IPR32,female,IPR,0.52,0.13,0.50,0.13,0.51,0.13,0.53,0.13,0.50,0.13,0.51
IPR33,female,PR,0.51,0.13,0.12,0.12,0.11,0.14,0.13,0.11,0.13,0.13,0.12
IPR34,female,PR,0.47,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.14
IPR35,female,PR,0.52,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12
IPR36,female,PR,0.51,0.13,0.13,0.13,0.12,0.12,0.12,0.14,0.13,0.13,0.13
