ID,sex,group,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8
IPR27,female,NR,19.63,21.00,21.20,21.05,21.23,22.13,22.37,22.57,22.73
IPR28,female,NR,20.32,21.83,21.47,21.90,22.30,22.87,23.93,24.90,26.27
IPR29,female,PR,19.40,19.63,20.33,21.45,21.53,21.77,22.17,22.60,23.63
IPR30,female,PR,20.20,21.33,21.17,20.95,21.47,22.03,21.87,22.30,23.10
IPR31,female,IPR,19.48,20.90,22.17,23.35,24.07,25.90,26.73,27.97,29.57
IPR32,female,IPR,20.93,21.63,22.03,22.20,23.00,23.53,23.83,25.00,25.23
IPR33,female,PR,20.58,21.13,21.23,21.80,21.73,23.43,24.67,24.53,25.50
IPR34,female,PR,22.07,23.17,24.10,24.60,25.73,28.00,30.50,31.53,33.03
IPR35,female,PR,19.12,20.17,20.23,20.35,20.67,21.33,21.80,22.23,23.00
IPR36,female,PR,20.93,21.80,21.80,22.15,22.33,22.83,23.03,24.03,25.07
